,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Current Debt And Capital Lease Obligation,1136000000.0,1139000000.0,1989000000.0,1635000000.0,1640000000.0,
Current Capital Lease Obligation,,,353000000.0,,,
Current Debt,1136000000.0,1139000000.0,1636000000.0,1635000000.0,1640000000.0,
Other Current Borrowings,,,1636000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,,,211000000.0,,,
Payables And Accrued Expenses,18087000000.0,17852000000.0,16328000000.0,20157000000.0,18344000000.0,
Current Accrued Expenses,6068000000.0,6029000000.0,1723000000.0,5738000000.0,5749000000.0,
Interest Payable,,,126000000.0,,,
Payables,12019000000.0,11823000000.0,14605000000.0,14419000000.0,12595000000.0,
Dividends Payable,,,510000000.0,,,
Total Tax Payable,,,1042000000.0,,,
Income Tax Payable,,,334000000.0,,,
Accounts Payable,12019000000.0,11823000000.0,13053000000.0,14419000000.0,12595000000.0,
Total Assets,57851000000.0,56185000000.0,57769000000.0,58531000000.0,55995000000.0,
Total Non Current Assets,38817000000.0,38426000000.0,38315000000.0,37977000000.0,38077000000.0,
Other Non Current Assets,1555000000.0,1505000000.0,238000000.0,1533000000.0,1457000000.0,
Defined Pension Benefit,,,661000000.0,,,
Goodwill And Other Intangible Assets,,,631000000.0,,,
Goodwill,,,631000000.0,,,
Net PPE,37262000000.0,36921000000.0,36785000000.0,36444000000.0,36620000000.0,
Accumulated Depreciation,,,-26277000000.0,-25548000000.0,-24851000000.0,-24161000000.0
Gross PPE,37262000000.0,36921000000.0,63062000000.0,61992000000.0,61471000000.0,
Construction In Progress,,,1185000000.0,758000000.0,830000000.0,1538000000.0
Other Properties,37262000000.0,36921000000.0,3763000000.0,3513000000.0,3545000000.0,
Machinery Furniture Equipment,,,12627000000.0,12389000000.0,12127000000.0,11606000000.0
Buildings And Improvements,,,38752000000.0,38666000000.0,38324000000.0,37587000000.0
Land And Improvements,,,6735000000.0,6666000000.0,6645000000.0,6544000000.0
Properties,,,0.0,0.0,0.0,0.0
Current Assets,19034000000.0,17759000000.0,19454000000.0,20554000000.0,17918000000.0,
Other Current Assets,1812000000.0,1824000000.0,185000000.0,1956000000.0,1817000000.0,
Prepaid Assets,,,226000000.0,,,
Inventory,12881000000.0,13048000000.0,12740000000.0,15165000000.0,12604000000.0,
Inventories Adjustments Allowances,,,-183000000.0,,,
Other Inventories,,,12923000000.0,,,
Receivables,,,1541000000.0,,,
Other Receivables,,,543000000.0,,,
Accounts Receivable,,,998000000.0,,,
Cash Cash Equivalents And Short Term Investments,4341000000.0,2887000000.0,4762000000.0,3433000000.0,3497000000.0,
Cash And Cash Equivalents,4341000000.0,2887000000.0,4762000000.0,3433000000.0,3497000000.0,
Cash Equivalents,3300000000.0,2000000000.0,4486000000.0,2500000000.0,2500000000.0,
Cash Financial,1041000000.0,887000000.0,276000000.0,933000000.0,997000000.0,
